site,containment,cfm_per_kw,fan_w_per_cfm,cop,electricity_usd_per_kwh,baseline_it_kw,pue,fan_it_pct,cool_it_pct,total_power_kw,annual_cost_usd,annual_co2_t
PHX,0.80,320.0,0.120,3.30,0.25,572.0,1.340,3.648,23.367,766.565,1678776.41,2686.042
PHX,0.80,320.0,0.120,5.50,0.07,572.0,1.247,3.648,14.020,713.101,437273.76,2498.707
PHX,0.80,320.0,0.120,5.50,0.25,572.0,1.247,3.648,14.020,713.101,1561691.99,2498.707
PHX,0.80,320.0,0.250,3.30,0.07,572.0,1.380,7.600,23.367,789.170,483919.05,2765.252
PHX,0.80,320.0,0.250,3.30,0.25,572.0,1.380,7.600,23.367,789.170,1728282.32,2765.252
PHX,0.80,320.0,0.250,5.50,0.07,572.0,1.286,7.600,14.020,735.707,451135.41,2577.917
PHX,0.80,320.0,0.250,5.50,0.25,572.0,1.286,7.600,14.020,735.707,1611197.90,2577.917
PHX,0.80,450.0,0.120,3.30,0.07,572.0,1.355,5.130,23.367,775.042,475255.51,2715.746
PHX,0.80,450.0,0.120,3.30,0.25,572.0,1.355,5.130,23.367,775.042,1697341.12,2715.746
PHX,0.80,450.0,0.120,5.50,0.07,572.0,1.262,5.130,14.020,721.578,442471.88,2528.411
PHX,0.80,450.0,0.120,5.50,0.25,572.0,1.262,5.130,14.020,721.578,1580256.71,2528.411
PHX,0.80,450.0,0.250,3.30,0.07,572.0,1.411,10.688,23.367,806.831,494748.47,2827.134
PHX,0.80,450.0,0.250,3.30,0.25,572.0,1.411,10.688,23.367,806.831,1766958.81,2827.134
PHX,0.80,450.0,0.250,5.50,0.07,572.0,1.317,10.688,14.020,753.367,461964.83,2639.799
PHX,0.80,450.0,0.250,5.50,0.25,572.0,1.317,10.688,14.020,753.367,1649874.40,2639.799
PHX,0.90,250.0,0.120,3.30,0.07,572.0,1.317,2.460,22.245,753.354,461956.44,2639.751
PHX,0.90,250.0,0.120,3.30,0.25,572.0,1.317,2.460,22.245,753.354,1649844.44,2639.751
PHX,0.90,250.0,0.120,5.50,0.07,572.0,1.228,2.460,13.347,702.457,430746.42,2461.408
PHX,0.90,250.0,0.120,5.50,0.25,572.0,1.228,2.460,13.347,702.457,1538380.07,2461.408
PHX,0.90,250.0,0.250,3.30,0.07,572.0,1.344,5.125,22.245,768.597,471303.94,2693.165
PHX,0.90,250.0,0.250,3.30,0.25,572.0,1.344,5.125,22.245,768.597,1683228.36,2693.165
PHX,0.90,250.0,0.250,5.50,0.07,572.0,1.255,5.125,13.347,717.700,440093.92,2514.822
PHX,0.90,250.0,0.250,5.50,0.25,572.0,1.255,5.125,13.347,717.700,1571764.00,2514.822
PHX,0.90,320.0,0.120,3.30,0.07,572.0,1.324,3.149,22.245,757.294,464372.41,2653.557
PHX,0.90,320.0,0.120,3.30,0.25,572.0,1.324,3.149,22.245,757.294,1658472.90,2653.557
PHX,0.90,320.0,0.120,5.50,0.07,572.0,1.235,3.149,13.347,706.397,433162.39,2475.214
PHX,0.90,320.0,0.120,5.50,0.25,572.0,1.235,3.149,13.347,706.397,1547008.53,2475.214
PHX,0.90,320.0,0.250,3.30,0.07,572.0,1.358,6.560,22.245,776.806,476337.21,2721.927
PHX,0.90,320.0,0.250,3.30,0.25,572.0,1.358,6.560,22.245,776.806,1701204.32,2721.927
PHX,0.90,320.0,0.250,5.50,0.07,572.0,1.269,6.560,13.347,725.909,445127.19,2543.584
PHX,0.90,320.0,0.250,5.50,0.25,572.0,1.269,6.560,13.347,725.909,1589739.95,2543.584
PHX,0.90,450.0,0.120,3.30,0.07,572.0,1.337,4.428,22.245,764.611,468859.21,2679.195
PHX,0.90,450.0,0.120,3.30,0.25,572.0,1.337,4.428,22.245,764.611,1674497.18,2679.195
PHX,0.90,450.0,0.120,5.50,0.07,572.0,1.248,4.428,13.347,713.714,437649.19,2500.853
PHX,0.90,450.0,0.120,5.50,0.25,572.0,1.248,4.428,13.347,713.714,1563032.82,2500.853
PHX,0.90,450.0,0.250,3.30,0.07,572.0,1.385,9.225,22.245,792.049,485684.71,2775.341
PHX,0.90,450.0,0.250,3.30,0.25,572.0,1.385,9.225,22.245,792.049,1734588.24,2775.341
PHX,0.90,450.0,0.250,5.50,0.07,572.0,1.296,9.225,13.347,741.152,454474.69,2596.998
PHX,0.90,450.0,0.250,5.50,0.25,572.0,1.296,9.225,13.347,741.152,1623123.88,2596.998
PHX,0.95,250.0,0.120,3.30,0.07,572.0,1.311,2.460,21.684,750.146,459989.42,2628.511
PHX,0.95,250.0,0.120,3.30,0.25,572.0,1.311,2.460,21.684,750.146,1642819.37,2628.511
